"ID","Is.the.toilet.easily.accessible.to.the.following.people...Children","Is.the.toilet.easily.accessible.to.the.following.people...Persons.with.dissability","Is.the.toilet.easily.accessible.to.the.following.people...Women.at.night","Is.the.toilet.easily.accessible.to.the.following...Vacuum.Tanker","Is.the.toilet.easily.accessible.to.the.following...Light.Truck","Is.the.toilet.easily.accessible.to.the.following...Push.Cart"
"102",TRUE,TRUE,TRUE,NA,NA,TRUE
"103",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"104",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"105",TRUE,NA,TRUE,TRUE,TRUE,TRUE
"106",TRUE,NA,FALSE,TRUE,TRUE,TRUE
"107",NA,NA,NA,TRUE,TRUE,TRUE
"108",TRUE,TRUE,TRUE,NA,NA,TRUE
"109",TRUE,NA,TRUE,TRUE,TRUE,TRUE
"110",TRUE,TRUE,TRUE,NA,TRUE,TRUE
"111",TRUE,NA,TRUE,TRUE,TRUE,TRUE
"112",NA,FALSE,NA,TRUE,TRUE,NA
"113",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"114",NA,NA,TRUE,NA,NA,TRUE
"115",TRUE,NA,TRUE,FALSE,TRUE,TRUE
"116",TRUE,TRUE,TRUE,NA,TRUE,TRUE
"117",TRUE,TRUE,NA,NA,NA,TRUE
"118",NA,NA,NA,NA,NA,NA
"119",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"120",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"121",NA,TRUE,NA,TRUE,TRUE,TRUE
"122",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"123",TRUE,NA,NA,TRUE,TRUE,TRUE
"124",TRUE,TRUE,TRUE,NA,NA,TRUE
"125",TRUE,NA,NA,NA,NA,NA
"126",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"127",TRUE,TRUE,TRUE,NA,NA,TRUE
"128",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"129",TRUE,TRUE,TRUE,NA,TRUE,TRUE
"130",FALSE,NA,FALSE,TRUE,TRUE,NA
"131",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"132",TRUE,TRUE,NA,NA,NA,TRUE
"133",NA,NA,TRUE,TRUE,TRUE,TRUE
"134",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"135",FALSE,FALSE,NA,TRUE,TRUE,TRUE
"136",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"137",NA,NA,NA,TRUE,TRUE,TRUE
"138",TRUE,TRUE,NA,TRUE,TRUE,TRUE
"139",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"140",TRUE,TRUE,TRUE,NA,NA,TRUE
"141",TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
"142",TRUE,NA,TRUE,NA,NA,TRUE
"143",TRUE,TRUE,TRUE,NA,TRUE,TRUE
"144",TRUE,NA,TRUE,TRUE,TRUE,TRUE
"145",TRUE,NA,TRUE,TRUE,NA,NA
"146",TRUE,TRUE,NA,NA,NA,TRUE
"147",TRUE,TRUE,TRUE,NA,TRUE,NA
"148",TRUE,TRUE,TRUE,NA,NA,TRUE
"149",NA,FALSE,NA,FALSE,FALSE,FALSE
"150",NA,NA,NA,NA,NA,TRUE
"151",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"152",TRUE,NA,TRUE,TRUE,NA,NA
"153",TRUE,NA,TRUE,TRUE,TRUE,TRUE
"154",TRUE,TRUE,TRUE,NA,NA,TRUE
"155",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"156",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"157",NA,NA,TRUE,NA,NA,TRUE
"158",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"159",TRUE,TRUE,TRUE,NA,TRUE,TRUE
"160",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"161",TRUE,TRUE,NA,NA,NA,TRUE
"162",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"163",NA,NA,TRUE,TRUE,TRUE,TRUE
"164",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"165",TRUE,NA,TRUE,TRUE,TRUE,TRUE
"166",TRUE,NA,TRUE,TRUE,NA,NA
"167",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"168",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"169",TRUE,TRUE,TRUE,FALSE,FALSE,TRUE
"170",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"171",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"172",NA,NA,NA,NA,NA,TRUE
"173",TRUE,TRUE,NA,TRUE,TRUE,TRUE
"174",TRUE,NA,TRUE,TRUE,TRUE,TRUE
"175",TRUE,TRUE,TRUE,NA,TRUE,TRUE
"176",TRUE,NA,TRUE,TRUE,NA,NA
"177",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"178",NA,NA,NA,TRUE,TRUE,TRUE
"179",TRUE,TRUE,NA,TRUE,TRUE,TRUE
"180",TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
"181",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"182",TRUE,TRUE,TRUE,NA,NA,TRUE
"183",TRUE,NA,TRUE,TRUE,TRUE,TRUE
"184",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"185",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"186",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"187",TRUE,TRUE,TRUE,NA,TRUE,TRUE
"188",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"189",NA,NA,NA,TRUE,TRUE,TRUE
"190",NA,NA,TRUE,TRUE,TRUE,TRUE
"191",TRUE,NA,TRUE,TRUE,NA,NA
"192",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"193",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"194",NA,NA,TRUE,TRUE,TRUE,TRUE
"195",NA,NA,TRUE,NA,NA,TRUE
"196",TRUE,TRUE,NA,NA,NA,TRUE
"197",TRUE,TRUE,NA,TRUE,TRUE,TRUE
"198",TRUE,TRUE,NA,TRUE,TRUE,TRUE
"199",TRUE,NA,TRUE,TRUE,NA,NA
"200",TRUE,TRUE,TRUE,NA,NA,TRUE
"201",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"202",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"203",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"204",NA,NA,NA,TRUE,TRUE,TRUE
"205",TRUE,TRUE,TRUE,NA,TRUE,TRUE
"206",TRUE,NA,TRUE,NA,NA,TRUE
"207",TRUE,NA,TRUE,TRUE,NA,NA
"208",TRUE,NA,TRUE,NA,NA,NA
"209",TRUE,TRUE,TRUE,NA,NA,TRUE
"210",TRUE,NA,TRUE,NA,FALSE,TRUE
"211",TRUE,NA,TRUE,TRUE,TRUE,TRUE
"212",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"213",NA,FALSE,NA,TRUE,TRUE,TRUE
"214",NA,FALSE,NA,NA,NA,TRUE
"215",TRUE,NA,TRUE,NA,TRUE,TRUE
"216",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"217",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"218",NA,NA,TRUE,TRUE,TRUE,TRUE
"219",TRUE,TRUE,TRUE,NA,TRUE,TRUE
"220",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"221",TRUE,NA,TRUE,TRUE,NA,NA
"222",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"223",TRUE,TRUE,TRUE,NA,NA,TRUE
"224",TRUE,TRUE,NA,NA,NA,TRUE
"225",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"226",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"227",TRUE,NA,TRUE,NA,NA,TRUE
"228",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"229",NA,NA,NA,NA,NA,NA
"230",TRUE,NA,TRUE,FALSE,TRUE,TRUE
"231",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"232",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"233",NA,NA,TRUE,TRUE,TRUE,TRUE
"234",NA,NA,TRUE,NA,NA,TRUE
"235",TRUE,NA,NA,TRUE,TRUE,TRUE
"236",NA,NA,NA,NA,NA,TRUE
"237",TRUE,TRUE,TRUE,NA,NA,TRUE
"238",TRUE,NA,TRUE,NA,NA,TRUE
"239",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"240",NA,NA,TRUE,TRUE,TRUE,TRUE
"241",TRUE,FALSE,FALSE,TRUE,TRUE,TRUE
"242",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"243",TRUE,FALSE,NA,TRUE,TRUE,TRUE
"244",TRUE,TRUE,NA,TRUE,TRUE,TRUE
"245",TRUE,NA,TRUE,TRUE,TRUE,TRUE
"246",TRUE,TRUE,TRUE,NA,FALSE,TRUE
"247",TRUE,NA,TRUE,NA,NA,TRUE
"248",TRUE,TRUE,NA,TRUE,TRUE,TRUE
"249",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"250",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"251",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"252",TRUE,TRUE,NA,TRUE,TRUE,TRUE
"253",NA,TRUE,TRUE,TRUE,TRUE,TRUE
"254",NA,NA,TRUE,TRUE,TRUE,TRUE
"255",TRUE,NA,TRUE,TRUE,TRUE,TRUE
"256",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"257",NA,TRUE,NA,TRUE,TRUE,TRUE
"258",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"259",TRUE,NA,TRUE,TRUE,TRUE,TRUE
"260",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"261",TRUE,TRUE,TRUE,NA,NA,TRUE
"262",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"263",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"264",TRUE,TRUE,TRUE,NA,FALSE,TRUE
"265",NA,NA,TRUE,TRUE,TRUE,TRUE
"266",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"267",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"268",TRUE,NA,TRUE,NA,NA,TRUE
"269",TRUE,TRUE,TRUE,NA,NA,TRUE
"270",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"271",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"272",TRUE,TRUE,TRUE,TRUE,NA,NA
"273",TRUE,TRUE,TRUE,NA,NA,TRUE
"274",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"275",NA,NA,TRUE,NA,NA,TRUE
"276",TRUE,TRUE,TRUE,TRUE,NA,NA
"277",TRUE,NA,TRUE,TRUE,TRUE,TRUE
"278",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"279",TRUE,TRUE,TRUE,NA,NA,TRUE
"280",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"281",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"282",TRUE,TRUE,TRUE,NA,NA,TRUE
"283",TRUE,TRUE,TRUE,FALSE,NA,TRUE
"284",TRUE,TRUE,TRUE,NA,NA,TRUE
"285",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"286",TRUE,TRUE,NA,TRUE,TRUE,TRUE
"287",TRUE,NA,TRUE,TRUE,NA,NA
"288",TRUE,NA,TRUE,TRUE,TRUE,TRUE
"289",NA,NA,NA,TRUE,TRUE,TRUE
"290",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"291",TRUE,TRUE,TRUE,NA,NA,TRUE
"292",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"293",NA,NA,TRUE,NA,NA,TRUE
"294",TRUE,TRUE,TRUE,TRUE,NA,NA
"295",TRUE,TRUE,NA,FALSE,TRUE,TRUE
"296",TRUE,TRUE,TRUE,NA,NA,TRUE
"297",TRUE,NA,TRUE,TRUE,TRUE,TRUE
"298",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"299",TRUE,NA,TRUE,NA,NA,TRUE
"300",TRUE,NA,NA,NA,NA,TRUE
"301",TRUE,TRUE,TRUE,NA,NA,TRUE
"302",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"303",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"304",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"305",TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
"306",TRUE,TRUE,TRUE,NA,NA,TRUE
"307",NA,NA,NA,TRUE,TRUE,TRUE
"308",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"309",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"310",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"311",TRUE,NA,TRUE,NA,NA,NA
"312",TRUE,TRUE,TRUE,TRUE,NA,NA
"313",TRUE,NA,TRUE,NA,NA,TRUE
"314",TRUE,TRUE,TRUE,TRUE,NA,NA
"315",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"316",TRUE,TRUE,TRUE,NA,TRUE,TRUE
"317",TRUE,TRUE,TRUE,NA,NA,TRUE
"318",TRUE,NA,TRUE,FALSE,FALSE,TRUE
"319",TRUE,NA,TRUE,NA,NA,TRUE
"320",TRUE,NA,TRUE,NA,TRUE,TRUE
"321",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"322",TRUE,NA,TRUE,NA,NA,NA
"323",TRUE,FALSE,TRUE,TRUE,TRUE,TRUE
"324",TRUE,NA,TRUE,TRUE,TRUE,TRUE
"325",TRUE,TRUE,TRUE,NA,NA,TRUE
"326",TRUE,NA,TRUE,TRUE,TRUE,TRUE
"327",FALSE,FALSE,TRUE,NA,TRUE,TRUE
"328",TRUE,TRUE,TRUE,FALSE,NA,NA
"329",TRUE,NA,TRUE,TRUE,NA,NA
"330",TRUE,TRUE,NA,NA,NA,TRUE
"331",NA,NA,TRUE,TRUE,TRUE,TRUE
"332",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"333",TRUE,TRUE,TRUE,NA,NA,TRUE
"334",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"335",TRUE,TRUE,TRUE,NA,NA,TRUE
"336",TRUE,NA,TRUE,NA,NA,TRUE
"337",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"338",TRUE,TRUE,NA,NA,NA,TRUE
"339",NA,NA,NA,TRUE,TRUE,TRUE
"340",TRUE,NA,TRUE,NA,TRUE,TRUE
"341",TRUE,TRUE,NA,TRUE,TRUE,TRUE
"342",TRUE,NA,TRUE,TRUE,NA,NA
"343",TRUE,TRUE,TRUE,NA,NA,TRUE
"344",TRUE,NA,TRUE,TRUE,TRUE,TRUE
"345",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"346",TRUE,NA,TRUE,NA,NA,NA
"347",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"348",TRUE,TRUE,TRUE,TRUE,NA,NA
"349",TRUE,FALSE,NA,TRUE,TRUE,TRUE
"350",NA,NA,NA,TRUE,TRUE,TRUE
"351",TRUE,TRUE,TRUE,NA,NA,TRUE
"352",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"353",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"354",TRUE,TRUE,TRUE,NA,NA,TRUE
"355",TRUE,TRUE,TRUE,TRUE,NA,NA
"356",NA,NA,TRUE,NA,NA,TRUE
"357",TRUE,FALSE,TRUE,NA,NA,TRUE
"358",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"359",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"360",NA,NA,NA,TRUE,TRUE,TRUE
"361",TRUE,TRUE,TRUE,NA,TRUE,TRUE
"362",TRUE,TRUE,TRUE,TRUE,NA,NA
"363",TRUE,NA,TRUE,TRUE,TRUE,TRUE
"364",TRUE,NA,TRUE,NA,TRUE,TRUE
"365",TRUE,TRUE,TRUE,TRUE,NA,NA
"366",TRUE,TRUE,TRUE,NA,NA,TRUE
"367",TRUE,TRUE,TRUE,NA,NA,TRUE
"368",TRUE,NA,TRUE,TRUE,TRUE,TRUE
"369",TRUE,TRUE,TRUE,TRUE,NA,NA
"370",TRUE,NA,TRUE,NA,NA,TRUE
"371",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"372",TRUE,TRUE,NA,TRUE,NA,NA
"373",TRUE,NA,TRUE,TRUE,TRUE,TRUE
"374",TRUE,NA,TRUE,TRUE,TRUE,TRUE
"375",TRUE,TRUE,TRUE,NA,NA,TRUE
"376",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"377",TRUE,NA,TRUE,TRUE,TRUE,TRUE
"378",TRUE,NA,TRUE,TRUE,TRUE,TRUE
"379",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"380",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"381",TRUE,NA,TRUE,TRUE,TRUE,TRUE
"382",NA,NA,NA,NA,NA,TRUE
"383",TRUE,NA,TRUE,TRUE,TRUE,TRUE
"384",TRUE,TRUE,TRUE,TRUE,NA,NA
"385",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"386",TRUE,TRUE,NA,NA,NA,TRUE
"387",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"388",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"389",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"390",TRUE,NA,TRUE,TRUE,TRUE,TRUE
"391",TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
"392",TRUE,TRUE,TRUE,NA,NA,TRUE
"393",NA,NA,NA,NA,NA,TRUE
"394",TRUE,TRUE,TRUE,NA,NA,TRUE
"395",NA,NA,NA,TRUE,TRUE,TRUE
"396",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"397",TRUE,TRUE,NA,NA,NA,TRUE
"398",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"399",TRUE,NA,TRUE,TRUE,TRUE,TRUE
"400",TRUE,NA,TRUE,NA,NA,TRUE
"401",TRUE,TRUE,NA,TRUE,TRUE,TRUE
"402",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"403",NA,NA,TRUE,TRUE,TRUE,TRUE
"404",NA,NA,NA,FALSE,FALSE,TRUE
"405",TRUE,TRUE,TRUE,FALSE,FALSE,TRUE
"406",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"407",TRUE,NA,TRUE,NA,TRUE,TRUE
"408",TRUE,NA,TRUE,TRUE,TRUE,TRUE
"409",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"410",NA,NA,NA,NA,NA,TRUE
"411",NA,NA,TRUE,NA,NA,TRUE
"412",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"413",TRUE,TRUE,TRUE,NA,NA,TRUE
"414",TRUE,NA,NA,TRUE,TRUE,TRUE
"415",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"416",TRUE,TRUE,TRUE,NA,NA,TRUE
"417",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"418",TRUE,TRUE,TRUE,NA,NA,TRUE
"419",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"420",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"421",TRUE,TRUE,TRUE,TRUE,NA,NA
"422",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"423",TRUE,TRUE,TRUE,NA,NA,TRUE
"424",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"425",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"426",TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
"427",TRUE,NA,TRUE,NA,FALSE,TRUE
"428",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"429",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"430",TRUE,NA,TRUE,TRUE,TRUE,TRUE
"431",TRUE,NA,TRUE,TRUE,TRUE,TRUE
"432",TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
"433",TRUE,TRUE,NA,TRUE,TRUE,TRUE
"434",NA,NA,TRUE,TRUE,TRUE,TRUE
"435",TRUE,NA,TRUE,NA,NA,TRUE
"436",NA,NA,NA,NA,NA,TRUE
"437",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"438",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"439",TRUE,TRUE,TRUE,TRUE,NA,NA
"440",NA,NA,NA,NA,NA,NA
"441",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"442",NA,NA,NA,NA,NA,TRUE
"443",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"444",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"445",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"446",TRUE,NA,TRUE,TRUE,NA,NA
"447",TRUE,TRUE,TRUE,NA,NA,TRUE
"448",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"449",NA,NA,NA,TRUE,TRUE,TRUE
"450",NA,NA,NA,TRUE,TRUE,TRUE
"451",NA,NA,NA,NA,NA,NA
"452",TRUE,TRUE,TRUE,TRUE,NA,NA
"453",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
